route_id,station_id
12,1
14,1
16,1
21,1
21,2
23,2
24,2
25,2
13,3
15,3
17,3
22,3
23,3
24,3
25,3
1,4
2,4
3,4
12,5
14,5
16,5
12,6
14,6
16,6
13,7
15,7
17,7
22,7
23,8
24,8
25,8
14,9
16,9
7,10
1,11
12,11
13,11
14,11
15,11
1,12
1,13
2,13
3,13
1,14
2,14
3,14
4,15
5,15
7,15
12,16
13,16
14,16
15,16
2,17
3,17
12,18
14,18
12,19
4,20
5,20
7,21
13,21
15,21
17,21
22,21
4,22
5,22
7,22
7,23
1,24
2,24
3,24
25,25
1,26
12,27
14,27
20,27
27,27
25,27
2,27
3,27
4,27
5,27
4,28
5,28
7,28
9,28
12,29
16,30
22,30
17,31
17,32
23,33
24,33
25,33
1,33
2,33
3,33
9,33
12,34
13,34
14,34
15,34
16,34
17,34
22,34
2,35
5,35
4,36
13,36
15,36
1,37
2,38
5,38
2,39
5,39
4,40
2,41
5,41
7,42
13,43
15,43
2,44
5,44
2,45
5,45
13,46
15,46
23,46
24,46
25,46
2,46
3,46
4,46
5,46
24,47
15,48
2,49
3,49
4,49
5,49
21,50
2,51
5,51
17,52
19,52
15,53
17,53
23,53
24,53
3,54
4,54
13,55
24,55
25,55
12,56
14,56
2,57
5,57
20,58
22,58
14,59
26,59
12,60
14,60
17,60
25,60
13,61
24,61
20,62
22,62
27,62
21,63
22,63
26,64
13,65
24,65
26,65
12,66
14,66
17,67
9,68
9,69
12,70
9,71
16,72
17,72
22,72
25,72
12,73
16,74
17,74
22,74
25,74
9,75
17,76
16,77
20,77
27,77
16,78
9,79
16,80
17,80
22,81
16,82
22,82
25,82
12,83
26,83
16,84
20,84
27,84
